accuracy,f1_m,loss,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_precision_m,val_recall_m,learning_rate
0.588361918926239,0.08073309063911438,0.8120048642158508,0.04323846474289894,0.7519111037254333,0.9443802833557129,0.023288602009415627,0.46125999093055725,0.04955621063709259,0.026431338861584663,9.999999747378752e-06
0.8181910514831543,0.14616277813911438,0.6039803624153137,0.0847708061337471,0.6531697511672974,0.9559391140937805,0.14629240334033966,0.43335551023483276,0.13545697927474976,0.1873428225517273,9.999999747378752e-06
0.9017130136489868,0.19938646256923676,0.4985189139842987,0.12859371304512024,0.5368485450744629,0.9459646344184875,0.23407547175884247,0.43267083168029785,0.1678989678621292,0.4258944094181061,9.999999747378752e-06
0.9421543478965759,0.25304114818573,0.4327332675457001,0.1899196058511734,0.43633612990379333,0.9552289247512817,0.2677873969078064,0.4790516495704651,0.20731483399868011,0.4114307463169098,9.999999747378752e-06
0.961352527141571,0.2834157347679138,0.3850700855255127,0.26197996735572815,0.3526464104652405,0.9639724493026733,0.2955302894115448,0.5124484300613403,0.26093965768814087,0.3704058825969696,9.999999747378752e-06
0.9685541391372681,0.2982538044452667,0.3559454083442688,0.31994688510894775,0.306426465511322,0.9686734676361084,0.3052643835544586,0.4605497121810913,0.30430349707603455,0.3338393270969391,4.999999873689376e-06
0.9713267087936401,0.30404070019721985,0.33910834789276123,0.359883189201355,0.2848573327064514,0.9708231091499329,0.3085651695728302,0.4268355071544647,0.3359966278076172,0.3121630847454071,4.999999873689376e-06
0.9730669260025024,0.29896777868270874,0.32350993156433105,0.38954848051071167,0.26368647813796997,0.9731239676475525,0.3047136068344116,0.4077744781970978,0.3708517849445343,0.2820974588394165,4.999999873689376e-06
0.9741393327713013,0.29370686411857605,0.31029653549194336,0.42199835181236267,0.24563640356063843,0.9739516377449036,0.30062270164489746,0.3833301365375519,0.38952207565307617,0.26685890555381775,4.999999873689376e-06
0.9749326705932617,0.2878405749797821,0.300171434879303,0.4369257092475891,0.22767703235149384,0.9749690890312195,0.30258098244667053,0.36559757590293884,0.4059911072254181,0.2611803114414215,2.499999936844688e-06
0.9753584265708923,0.29964953660964966,0.294095903635025,0.4544966518878937,0.23818935453891754,0.9757720232009888,0.30209314823150635,0.35288819670677185,0.42689618468284607,0.2526153028011322,2.499999936844688e-06
0.9757533669471741,0.30627843737602234,0.28814879059791565,0.47487711906433105,0.2375498265028,0.9748181104660034,0.2993345856666565,0.3694497346878052,0.42076265811920166,0.2539992034435272,2.499999936844688e-06
