accuracy,f1_m,loss,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_precision_m,val_recall_m,learning_rate
0.9090295433998108,0.17191766202449799,0.3969920575618744,0.25072038173675537,0.33862781524658203,0.9767231941223145,0.0,0.3191295266151428,0.0,0.0,9.999999747378752e-05
0.9772516489028931,0.16665920615196228,0.19026651978492737,0.5578495860099792,0.1023266538977623,0.9767231941223145,0.0,0.17111548781394958,0.0,0.0,9.999999747378752e-05
0.9783923625946045,0.29979169368743896,0.1276465207338333,0.6168535947799683,0.2095426470041275,0.9778187870979309,0.10806021839380264,0.11439017206430435,0.6806641221046448,0.06060391664505005,9.999999747378752e-05
0.9792281985282898,0.3802846372127533,0.09808002412319183,0.6276057362556458,0.28987279534339905,0.9788224101066589,0.22039107978343964,0.08781716227531433,0.7301791310310364,0.13357137143611908,9.999999747378752e-05
0.9799107909202576,0.4233097732067108,0.08204081654548645,0.6350266933441162,0.3360816240310669,0.9796508550643921,0.4112749993801117,0.07557325065135956,0.556037962436676,0.34946393966674805,9.999999747378752e-05
0.9810283184051514,0.4786645174026489,0.0715414509177208,0.6557492017745972,0.39210277795791626,0.9781937599182129,0.4034334123134613,0.07342837750911713,0.5272405743598938,0.36067596077919006,4.999999873689376e-05
0.9812801480293274,0.48717552423477173,0.06694567948579788,0.6587730646133423,0.404178261756897,0.9795510768890381,0.3964625298976898,0.06779246777296066,0.5791462063789368,0.3257945477962494,4.999999873689376e-05
0.9816635847091675,0.5056055784225464,0.06261540949344635,0.6638410687446594,0.4227401316165924,0.973455011844635,0.3890666663646698,0.07452482730150223,0.4453014135360718,0.40068280696868896,4.999999873689376e-05
0.9818263649940491,0.509059727191925,0.059640634804964066,0.6712878942489624,0.4246353507041931,0.9788614511489868,0.43000999093055725,0.0650436282157898,0.5388843417167664,0.3863259255886078,4.999999873689376e-05
0.9827941656112671,0.5452998280525208,0.055813513696193695,0.6884352564811707,0.4635337293148041,0.9801693558692932,0.39525195956230164,0.06086070463061333,0.5959690809249878,0.32192012667655945,2.499999936844688e-05
0.9832095503807068,0.5587119460105896,0.053890958428382874,0.6953101754188538,0.47764840722084045,0.9787895083427429,0.4053851068019867,0.06270884722471237,0.5572898983955383,0.3541466295719147,2.499999936844688e-05
0.9835208654403687,0.5714107155799866,0.05210024490952492,0.6990407705307007,0.49293532967567444,0.9806169867515564,0.4134347438812256,0.05967520549893379,0.6199151873588562,0.3278579115867615,2.499999936844688e-05
0.9837673306465149,0.5765358805656433,0.05081721022725105,0.7047500610351562,0.49773815274238586,0.9761115908622742,0.4010636806488037,0.06543558090925217,0.48355698585510254,0.38576313853263855,2.499999936844688e-05
0.9840748906135559,0.5882712602615356,0.04949745163321495,0.7110629677772522,0.5095305442810059,0.9793006777763367,0.3499354124069214,0.06153491511940956,0.5867193341255188,0.27475616335868835,1.249999968422344e-05
