accuracy,f1_m,loss,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_precision_m,val_recall_m,learning_rate
0.8705149292945862,0.28706589341163635,0.9400769472122192,0.1764119565486908,0.9398736953735352,0.9803428053855896,0.05863479897379875,0.9605426788330078,0.8911648392677307,0.03081747330725193,0.0010000000474974513
0.9246426224708557,0.3653395473957062,0.9377700090408325,0.23514914512634277,0.9494010806083679,0.9733263254165649,0.3502877652645111,0.9551051259040833,0.35843512415885925,0.390617698431015,0.0010000000474974513
0.9205116033554077,0.3548727333545685,0.9378436207771301,0.22700141370296478,0.9508249163627625,0.9002426266670227,0.26202306151390076,0.9486770629882812,0.15754635632038116,0.8701071739196777,0.0010000000474974513
0.9262381792068481,0.36901766061782837,0.9377591013908386,0.23879075050354004,0.9586737155914307,0.8754254579544067,0.2413017749786377,0.9474639296531677,0.14016632735729218,0.972841203212738,0.0010000000474974513
0.9328454732894897,0.39126136898994446,0.9373279213905334,0.2559538185596466,0.9609407186508179,0.9289640784263611,0.3477020561695099,0.946461021900177,0.21649272739887238,0.9596639275550842,0.0010000000474974513
0.9364424347877502,0.4033026099205017,0.9371911883354187,0.2651166021823883,0.9659703373908997,0.9326831102371216,0.3582569658756256,0.9463539719581604,0.22454719245433807,0.9591668248176575,0.0005000000237487257
0.9410886168479919,0.42092037200927734,0.9370101094245911,0.2787286043167114,0.9639692902565002,0.963743269443512,0.48612120747566223,0.9467371106147766,0.34050264954566956,0.8999717831611633,0.0005000000237487257
0.934540331363678,0.3981529772281647,0.937258243560791,0.2611110210418701,0.9659898281097412,0.9445886611938477,0.39990130066871643,0.946154773235321,0.25783178210258484,0.9535744786262512,0.0005000000237487257
0.935543954372406,0.4025672376155853,0.9372703433036804,0.26438790559768677,0.9647230505943298,0.950577437877655,0.4229336977005005,0.9462574124336243,0.27854785323143005,0.940453290939331,0.0005000000237487257
0.9422132968902588,0.42973166704177856,0.9367784857749939,0.2840781509876251,0.9684719443321228,0.954112708568573,0.4394312798976898,0.9462922811508179,0.29354405403137207,0.9334879517555237,0.0002500000118743628
0.9406968951225281,0.4219357967376709,0.9369330406188965,0.27949798107147217,0.9685378074645996,0.9571056365966797,0.4568534791469574,0.9462071657180786,0.3081471025943756,0.9359190464019775,0.0002500000118743628
0.9431138038635254,0.432378351688385,0.936856746673584,0.28706806898117065,0.9680395126342773,0.9321187138557434,0.365009069442749,0.9464517831802368,0.23360252380371094,0.9515683054924011,0.0002500000118743628
