accuracy,f1_m,loss,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_precision_m,val_recall_m,learning_rate
0.8718593716621399,0.2312856912612915,0.420640766620636,0.241990864276886,0.4337402880191803,0.9446665048599243,0.3105449974536896,0.338954895734787,0.22931355237960815,0.5442733764648438,9.999999747378752e-05
0.9786046147346497,0.3831014633178711,0.18207807838916779,0.5542004108428955,0.3144846558570862,0.972015380859375,0.388423353433609,0.17952895164489746,0.4352015256881714,0.3912213146686554,9.999999747378752e-05
0.9801353812217712,0.4584176242351532,0.12320679426193237,0.6072899699211121,0.3923436105251312,0.9806035161018372,0.45553457736968994,0.11319145560264587,0.6021728515625,0.3830188512802124,9.999999747378752e-05
0.9808200001716614,0.48178181052207947,0.09486216306686401,0.6307311058044434,0.4202669560909271,0.9759252667427063,0.498291939496994,0.09774526208639145,0.4710141122341156,0.5552052855491638,9.999999747378752e-05
0.9816084504127502,0.4983951449394226,0.07732568681240082,0.640275239944458,0.4370950758457184,0.9808967113494873,0.5061236023902893,0.07356429845094681,0.593012273311615,0.4592852294445038,9.999999747378752e-05
0.982722818851471,0.544065535068512,0.06767986714839935,0.6652743220329285,0.48417267203330994,0.9820364713668823,0.48416563868522644,0.06839590519666672,0.6577821373939514,0.39591237902641296,4.999999873689376e-05
0.9829646348953247,0.5494804978370667,0.0635489746928215,0.676887035369873,0.486580491065979,0.9816970825195312,0.48670658469200134,0.06459084153175354,0.6444161534309387,0.40634477138519287,4.999999873689376e-05
0.9835106730461121,0.5693020224571228,0.0592862032353878,0.6793451309204102,0.5167138576507568,0.9808254837989807,0.49915024638175964,0.06511842459440231,0.6112945675849915,0.43762433528900146,4.999999873689376e-05
0.983975887298584,0.583259105682373,0.05575937032699585,0.6901781558990479,0.5287073850631714,0.9825023412704468,0.46413636207580566,0.05872878059744835,0.7110753655433655,0.35883983969688416,4.999999873689376e-05
0.9846757054328918,0.5957165360450745,0.05251254886388779,0.7047401070594788,0.5370041131973267,0.9820607304573059,0.4923306405544281,0.05855034664273262,0.6614202260971069,0.40990352630615234,2.499999936844688e-05
