accuracy,f1_m,loss,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_precision_m,val_recall_m,learning_rate
0.9472007751464844,0.030482204630970955,0.35542207956314087,0.24319343268871307,0.052671413868665695,0.9805566072463989,0.0008486253791488707,0.302521288394928,0.01638229377567768,0.0004387010121718049,9.999999747378752e-05
0.9775373935699463,0.2654779255390167,0.17311029136180878,0.6349806785583496,0.17918047308921814,0.9810307025909424,0.0,0.1629427969455719,0.0,0.0,9.999999747378752e-05
0.9795877933502197,0.42798420786857605,0.11426353454589844,0.6614823341369629,0.3305003046989441,0.9810307025909424,0.0,0.12304149568080902,0.0,0.0,9.999999747378752e-05
0.9811552166938782,0.5186099410057068,0.08461251109838486,0.669482409954071,0.43877100944519043,0.9810307025909424,0.0,0.11408127099275589,0.0,0.0,9.999999747378752e-05
0.982224702835083,0.5642627477645874,0.06853482872247696,0.6793996691703796,0.49715378880500793,0.9810307621955872,1.1833758435386699e-05,0.09253787249326706,0.02083333022892475,5.918560418649577e-06,9.999999747378752e-05
0.9832266569137573,0.595728874206543,0.058924246579408646,0.699739933013916,0.5321680307388306,0.9826835989952087,0.16442403197288513,0.06423795223236084,0.8757107853889465,0.09457055479288101,9.999999747378752e-05
0.9840452075004578,0.61826092004776,0.05318470671772957,0.7179447412490845,0.5535404682159424,0.9843077659606934,0.3415220081806183,0.0546499565243721,0.7733697891235352,0.22792594134807587,4.999999873689376e-05
0.9847376346588135,0.6381556987762451,0.04995817318558693,0.7314908504486084,0.5749915242195129,0.9847007393836975,0.3835935592651367,0.05158066004514694,0.758912980556488,0.2672385275363922,4.999999873689376e-05
0.9849933385848999,0.6449953317642212,0.04775601625442505,0.7365217804908752,0.5837146043777466,0.9848411679267883,0.43033990263938904,0.04951341450214386,0.6991076469421387,0.3220537602901459,4.999999873689376e-05
0.9852933883666992,0.6521505117416382,0.045697346329689026,0.7422579526901245,0.591182291507721,0.9848456978797913,0.39544519782066345,0.049265626817941666,0.7520372867584229,0.2785715162754059,4.999999873689376e-05
0.9855892658233643,0.6608473658561707,0.04416162148118019,0.7494896054267883,0.598211944103241,0.9850519895553589,0.42416343092918396,0.047621339559555054,0.7325531840324402,0.3100690543651581,2.499999936844688e-05
0.9858518242835999,0.6670613884925842,0.04300934448838234,0.7522097826004028,0.6058734059333801,0.9850040674209595,0.40828046202659607,0.04792901501059532,0.746976912021637,0.2918023467063904,2.499999936844688e-05
0.9860039949417114,0.6724762916564941,0.04210508614778519,0.7554318308830261,0.6132872104644775,0.9848841428756714,0.4273974895477295,0.04719271883368492,0.7105867862701416,0.3184252083301544,2.499999936844688e-05
0.9861524105072021,0.6769168376922607,0.04106506332755089,0.7587026357650757,0.6181369423866272,0.9848856925964355,0.4046076238155365,0.04749821126461029,0.7427657246589661,0.2896878719329834,2.499999936844688e-05
