accuracy,f1_m,loss,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_precision_m,val_recall_m,learning_rate
0.9759093523025513,0.0005097627872601151,0.183905228972435,0.03328146040439606,0.00025764643214643,0.9797781705856323,0.0,0.16649067401885986,0.0,0.0,9.999999747378752e-06
0.9760573506355286,7.73189021856524e-05,0.1295345276594162,0.03460872173309326,3.8722944736946374e-05,0.9797791838645935,0.0,0.1387481540441513,0.0,0.0,9.999999747378752e-06
0.9760755896568298,9.88786450761836e-06,0.11611074954271317,0.019298244267702103,4.945790806232253e-06,0.9797793030738831,0.0,0.12802432477474213,0.0,0.0,9.999999747378752e-06
0.976078450679779,8.639313819003291e-06,0.10582965612411499,0.013157893903553486,4.321428605180699e-06,0.9797793030738831,0.0,0.10850368440151215,0.0,0.0,9.999999747378752e-06
0.9760794639587402,3.074398136959644e-06,0.09519466757774353,0.010526314377784729,1.5374284885183442e-06,0.9797793030738831,0.0,0.09123388677835464,0.0,0.0,9.999999747378752e-06
0.976079523563385,4.148493189859437e-06,0.08638390898704529,0.015789471566677094,2.074527401418891e-06,0.9797796010971069,2.3957247321959585e-05,0.08386983722448349,0.0416666604578495,1.1982556316070259e-05,4.999999873689376e-06
0.9760804772377014,5.7714794820640236e-05,0.08099672198295593,0.13333332538604736,2.8866408683825284e-05,0.9797812104225159,0.00027041498105973005,0.07807864993810654,0.2447916716337204,0.000135313966893591,4.999999873689376e-06
0.9760831594467163,0.00037339754635468125,0.07617106288671494,0.4326900541782379,0.00018684648966882378,0.9797911047935486,0.0019134706817567348,0.07233524322509766,0.5671953558921814,0.0009615542367100716,4.999999873689376e-06
0.976102352142334,0.0021767616271972656,0.07197459787130356,0.7515779137611389,0.001091420534066856,0.9798274040222168,0.008746610023081303,0.06847842782735825,0.6888089179992676,0.0044511426240205765,4.999999873689376e-06
0.9761495590209961,0.006616709288209677,0.06905380636453629,0.8144589066505432,0.0033299559727311134,0.9798558354377747,0.015805035829544067,0.06774153560400009,0.7088437676429749,0.008129327557981014,2.499999936844688e-06
0.9761993288993835,0.01276342011988163,0.06739494204521179,0.8065288066864014,0.006454886868596077,0.9798969626426697,0.025931941345334053,0.06674621254205704,0.6937825679779053,0.013530083000659943,2.499999936844688e-06
0.9762769937515259,0.020475352182984352,0.06596557796001434,0.7678362131118774,0.010423687286674976,0.979949414730072,0.038824740797281265,0.06544910371303558,0.6796279549598694,0.02058562822639942,2.499999936844688e-06
0.976382315158844,0.03313307464122772,0.06469017267227173,0.7609685063362122,0.01706680841743946,0.9799920916557312,0.05448251962661743,0.06477249413728714,0.6621257066726685,0.029486218467354774,2.499999936844688e-06
